Timestamp                       Thread     Type        Activity             PID    TTL  
2021-02-08 19:26:27.885338+0800 0x2f9      Default     0x0                  0      0    kernel: PMRD: next alarm (MaintenanceWakeCalendarDate) 2021/02/13 17:15:43
2021-02-08 19:26:27.885339+0800 0x2f9      Default     0x0                  0      0    kernel: PMRD: scheduled alarm mask 0x4
2021-02-08 19:26:27.885483+0800 0x74       Default     0x0                  0      0    kernel: PM response took 2728 ms (63, powerd)
2021-02-08 19:26:27.885533+0800 0x74       Default     0x0                  0      0    kernel: IOPMrootDomain PMTellAppWithResponse - Suspended kIOPMMessageLastCallBeforeSleep, pid 614, MBS CPU WidgetEx
2021-02-08 19:26:27.885536+0800 0x74       Default     0x0                  0      0    kernel: IOPMrootDomain PMTellAppWithResponse - Suspended kIOPMMessageLastCallBeforeSleep, pid 606, MBS MEM WidgetEx
2021-02-08 19:26:27.885558+0800 0x74       Default     0x0                  0      0    kernel: PMRD: tellChangeDown ON_STATE->SLEEP_STATE
2021-02-08 19:26:27.885559+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x12
2021-02-08 19:26:27.885563+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[0] to __kernel__
2021-02-08 19:26:27.885564+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[1] to __kernel__
2021-02-08 19:26:27.885565+0800 0x74       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler message kIOMessageSystemWillSleep
2021-02-08 19:26:27.885567+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[2] to com.apple.driver.AppleCredentialManager
2021-02-08 19:26:27.885569+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[3] to com.apple.driver.AppleACPIPlatform
2021-02-08 19:26:27.885571+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[4] to com.apple.iokit.IOPCIFamily
2021-02-08 19:26:27.885572+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[5] to com.apple.driver.AppleSMC
2021-02-08 19:26:27.885574+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[6] to com.apple.iokit.IOHIDFamily
2021-02-08 19:26:27.885576+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[7] to com.apple.iokit.IONetworkingFamily
2021-02-08 19:26:27.885578+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[8] to com.apple.iokit.IOStorageFamily
2021-02-08 19:26:27.885580+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[9] to com.apple.iokit.IOStorageFamily
2021-02-08 19:26:27.885581+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[10] to com.apple.iokit.IOStorageFamily
2021-02-08 19:26:27.885583+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[11] to com.apple.driver.IOPlatformPluginLegacy
2021-02-08 19:26:27.885586+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[12] to com.apple.iokit.IOGraphicsFamily
2021-02-08 19:26:27.885588+0800 0x74       Default     0x0                  0      0    kernel: (IOGraphicsFamily) GTrace synchronization point 16c
2021-02-08 19:26:27.885595+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[12] response from com.apple.iokit.IOGraphicsFamily took 0 ms (ack in 90000000 us)
2021-02-08 19:26:27.885596+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemWillSleep[13] to com.apple.driver.AppleGraphicsDevicePolicy
2021-02-08 19:26:27.885599+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[14] to __kernel__
2021-02-08 19:26:27.885611+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[14] response from __kernel__ took 0 ms (ack in 60000000 us)
2021-02-08 19:26:27.885612+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[15] to __kernel__
2021-02-08 19:26:27.885614+0800 0x74       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler message kIOMessageSystemCapabilityChange
2021-02-08 19:26:27.885615+0800 0x74       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler cap 9 -> 0 (flags 1)
2021-02-08 19:26:27.885616+0800 0x74       Default     0x0                  0      0    kernel: PMRD: evaluateSystemSleepPolicyEarly
2021-02-08 19:26:27.885622+0800 0x74       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler max wait 20 s
2021-02-08 19:26:27.885626+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[15] response from __kernel__ took 0 ms (ack in 20000000 us)
2021-02-08 19:26:27.885627+0800 0x74       Default     0x0                  0      0    kernel: PMRD: kIOMessageSystemCapabilityChange[16] to com.apple.driver.AppleCredentialManager
